時間,設備,值
2024-10-19 14:56:42,SA-23/LINE_LEVEL,10514
2024-10-19 14:56:44,SA-23/LINE_LEVEL,10482
2024-10-19 14:56:46,SA-23/LINE_LEVEL,10402
2024-10-19 14:56:48,SA-23/LINE_LEVEL,10946
2024-10-19 14:56:50,SA-23/LINE_LEVEL,11010
2024-10-19 14:56:52,SA-23/LINE_LEVEL,10658
2024-10-19 14:56:54,SA-23/LINE_LEVEL,10674
2024-10-19 14:56:56,SA-23/LINE_LEVEL,10946
2024-10-19 14:56:58,SA-23/LINE_LEVEL,10466
2024-10-19 14:57:00,SA-23/LINE_LEVEL,10450
2024-10-19 14:57:02,SA-23/LINE_LEVEL,10802
2024-10-19 14:57:04,SA-23/LINE_LEVEL,10690
2024-10-19 14:57:06,SA-23/LINE_LEVEL,10754
2024-10-19 14:57:08,SA-23/LINE_LEVEL,10674
2024-10-19 14:57:10,SA-23/LINE_LEVEL,10546
2024-10-19 14:57:12,SA-23/LINE_LEVEL,10466
2024-10-19 14:57:14,SA-23/LINE_LEVEL,10322
2024-10-19 14:57:16,SA-23/LINE_LEVEL,10402
2024-10-19 14:57:18,SA-23/LINE_LEVEL,10546
2024-10-19 14:57:20,SA-23/LINE_LEVEL,10626
2024-10-19 14:57:22,SA-23/LINE_LEVEL,10578
2024-10-19 14:57:24,SA-23/LINE_LEVEL,10642
2024-10-19 14:57:26,SA-23/LINE_LEVEL,10674
2024-10-19 14:57:28,SA-23/LINE_LEVEL,10626
2024-10-19 14:57:30,SA-23/LINE_LEVEL,10562
2024-10-19 14:57:32,SA-23/LINE_LEVEL,10530
2024-10-19 14:57:34,SA-23/LINE_LEVEL,10450
2024-10-19 14:57:38,SA-23/LINE_LEVEL,10466
2024-10-19 14:57:40,SA-23/LINE_LEVEL,10514
2024-10-19 14:57:42,SA-23/LINE_LEVEL,10546
2024-10-19 14:57:44,SA-23/LINE_LEVEL,10498
2024-10-19 14:57:46,SA-23/LINE_LEVEL,10562
2024-10-19 14:57:48,SA-23/LINE_LEVEL,10578
2024-10-19 14:57:50,SA-23/LINE_LEVEL,10594
2024-10-19 14:57:52,SA-23/LINE_LEVEL,10578
2024-10-19 14:57:54,SA-23/LINE_LEVEL,10322
2024-10-19 14:57:56,SA-23/LINE_LEVEL,10434
2024-10-19 14:57:58,SA-23/LINE_LEVEL,10754
2024-10-19 14:58:00,SA-23/LINE_LEVEL,10834
2024-10-19 14:58:02,SA-23/LINE_LEVEL,10994
2024-10-19 14:58:04,SA-23/LINE_LEVEL,2656
2024-10-19 14:58:06,SA-23/LINE_LEVEL,2544
2024-10-19 14:58:08,SA-23/LINE_LEVEL,2448
2024-10-19 14:58:12,SA-23/LINE_LEVEL,9522
2024-10-19 14:58:14,SA-23/LINE_LEVEL,10914
2024-10-19 14:58:16,SA-23/TEMPERATURE,29.39
2024-10-19 14:58:16,SA-23/LINE_LEVEL,10946
2024-10-19 14:58:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:58:20,SA-23/LINE_LEVEL,11170
2024-10-19 14:58:22,SA-23/LINE_LEVEL,10850
2024-10-19 14:58:24,SA-23/LINE_LEVEL,10818
2024-10-19 14:58:26,SA-23/LINE_LEVEL,10850
2024-10-19 14:58:28,SA-23/LINE_LEVEL,2000
2024-10-19 14:58:30,SA-23/LINE_LEVEL,2368
2024-10-19 14:58:32,SA-23/TEMPERATURE,29.39
